"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Probable Pitcher","Batting Order"
"20170-13627","P","Corey","Corey Kluber","Kluber","46.46666666666667","15","11300","TOR@CLE","CLE","TOR","DTD","Neck","Yes",""
"20170-52859","P","Jacob","Jacob deGrom","deGrom","35.72727272727273","22","11000","OAK@NYM","NYM","OAK","","","",""
"20170-23089","P","Dallas","Dallas Keuchel","Keuchel","43.81818181818182","11","10800","HOU@BAL","HOU","BAL","DL","Neck","",""
"20170-52172","P","Noah","Noah Syndergaard","Syndergaard","34","5","10600","OAK@NYM","NYM","OAK","DL","Lat","",""
"20170-12921","P","Chris","Chris Archer","Archer","39.80952380952381","21","10300","TEX@TAM","TAM","TEX","","","",""
"20170-16931","P","Yu","Yu Darvish","Darvish","36.76190476190476","21","9700","TEX@TAM","TEX","TAM","","","",""
"20170-6266","P","Carlos","Carlos Carrasco","Carrasco","37.26315789473684","19","9500","TOR@CLE","CLE","TOR","","","",""
"20170-60639","P","Jose","Jose Berrios","Berrios","35.15384615384615","13","9100","DET@MIN","MIN","DET","","","",""
"20170-60647","P","Aaron","Aaron Nola","Nola","36.266666666666666","15","9100","MIL@PHI","PHI","MIL","","","",""
"20170-5525","P","Cole","Cole Hamels","Hamels","27.2","10","9000","TEX@TAM","TEX","TAM","","","",""
"20170-17064","P","Sonny","Sonny Gray","Gray","32.86666666666667","15","8900","OAK@NYM","OAK","NYM","","","",""
"20170-15234","P","Brad","Brad Peacock","Peacock","22.363636363636363","22","8900","HOU@BAL","HOU","BAL","","","",""
"20170-68520","P","Michael","Michael Fulmer","Fulmer","33.10526315789474","19","8900","DET@MIN","DET","MIN","","","",""
"20170-52159","P","Lance","Lance McCullers Jr.","McCullers Jr.","34.94117647058823","17","8900","HOU@BAL","HOU","BAL","","","Yes",""
"20170-5202","P","Justin","Justin Verlander","Verlander","29.05","20","8800","DET@MIN","DET","MIN","","","",""
"20170-38164","P","Jimmy","Jimmy Nelson","Nelson","35.6","20","8800","MIL@PHI","MIL","PHI","","","",""
"20170-16956","P","Gerrit","Gerrit Cole","Cole","29.333333333333332","21","8700","PIT@COL","PIT","COL","","","",""
"20170-5283","P","Ervin","Ervin Santana","Santana","32.85","20","8600","DET@MIN","MIN","DET","","","",""
"20170-38161","P","Chase","Chase Anderson","Anderson","31.9375","16","8600","MIL@PHI","MIL","PHI","DL","Oblique","",""
"20170-52165","P","Sean","Sean Manaea","Manaea","32","18","8600","OAK@NYM","OAK","NYM","","","",""
"20170-13444","P","Mike","Mike Fiers","Fiers","29.65","20","8400","HOU@BAL","HOU","BAL","","","",""
"20170-5466","P","Charlie","Charlie Morton","Morton","32.92307692307692","13","8400","HOU@BAL","HOU","BAL","","","",""
"20170-79259","P","Jake","Jake Faria","Faria","36.875","8","8400","TEX@TAM","TAM","TEX","","","",""
"20170-16961","P","Jameson","Jameson Taillon","Taillon","32","13","8400","PIT@COL","PIT","COL","","","",""
"20170-23409","P","Dan","Dan Straily","Straily","29.85","20","8400","MIA@CIN","MIA","CIN","","","",""
"20170-13268","P","Danny","Danny Duffy","Duffy","30.933333333333334","15","8400","CWS@KAN","KAN","CWS","","","",""
"20170-39041","P","Marcus","Marcus Stroman","Stroman","32.333333333333336","21","8200","TOR@CLE","TOR","CLE","","","",""
"20170-38183","P","Nate","Nate Karns","Karns","27.77777777777778","9","8100","CWS@KAN","KAN","CWS","DL","Forearm","",""
"20170-13123","P","Alex","Alex Cobb","Cobb","29.05","20","8100","TEX@TAM","TAM","TEX","","","",""
"20170-21118","P","Danny","Danny Salazar","Salazar","28.923076923076923","13","7900","TOR@CLE","CLE","TOR","","","",""
"20170-70559","P","Mike","Mike Clevinger","Clevinger","31.615384615384617","13","7900","TOR@CLE","CLE","TOR","","","",""
"20170-6200","P","Jason","Jason Vargas","Vargas","31.42105263157895","19","7800","CWS@KAN","KAN","CWS","","","",""
"20170-12175","P","Ivan","Ivan Nova","Nova","30.36842105263158","19","7800","PIT@COL","PIT","COL","","","Yes",""
"20170-8101","P","Ian","Ian Kennedy","Kennedy","25.055555555555557","18","7800","CWS@KAN","KAN","CWS","","","",""
"20170-12455","P","Josh","Josh Tomlin","Tomlin","22.333333333333332","18","7700","TOR@CLE","CLE","TOR","","","",""
"20170-53607","P","Anthony","Anthony DeSclafani","DeSclafani","33","20","7700","MIA@CIN","CIN","MIA","DL","Elbow","",""
